"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"Total_1999";"15800";" 7077";" 6730";"  314";" 5831";"  596";"   10";"    0";"  759";"  530";"   60";"    5";"    0";"    6";"    4";"    0";"   13";"  196";"  167";" 2774";"  246";"  139";"    0";"  555";" 9828";"  193";" 1481";"  195";"    6";"    0";" 1907";"  193";" 1481";"  465";"  148";"    0";" 2551"
"Total_2000";"17069";" 7292";" 6935";"  333";" 6066";"  635";"   11";"    0";"  713";"  541";"   66";"    6";"    0";"    7";"    4";"    0";"   15";"  213";"  189";" 3010";"  304";"  177";"    0";"  613";"10654";"  181";" 1541";"  205";"    7";"    0";" 1970";"  181";" 1541";"  540";"  184";"    0";" 2674"
"Total_2001";"18303";" 7609";" 7232";"  349";" 6263";"  681";"   12";"    0";"  801";"  512";"   69";"    7";"    0";"    7";"    5";"    0";"   16";"  230";"  211";" 3264";"  283";"  166";"    0";"  642";"11459";"  203";" 1591";"  220";"    8";"    0";" 2059";"  203";" 1591";"  532";"  180";"    0";" 2788"
"Total_2002";"18877";" 7767";" 7379";"  359";" 6535";"  728";"   13";"    0";"  695";"  571";"   72";"    7";"    0";"    8";"    6";"    0";"   18";"  229";"  235";" 3521";"  329";"  229";"    0";"  715";"11333";"  177";" 1660";"  234";"    8";"    0";" 2118";"  177";" 1660";"  590";"  240";"    0";" 2915"
"Total_2003";"19329";" 7800";" 7379";"  380";" 6712";"  779";"   14";"    0";"  509";"  492";"   75";"    8";"    0";"    9";"    6";"    0";"   19";"  226";"  258";" 3770";"  349";"  218";"    0";"  735";"11048";"  129";" 1705";"  250";"    9";"    0";" 2123";"  129";" 1705";"  630";"  232";"    0";" 2982"
"Total_2004";"19628";" 7979";" 7520";"  422";" 6732";"  833";"   15";"    0";"  656";"  361";"   77";"    8";"    0";"    9";"    6";"    0";"   19";"  226";"  285";" 4017";"  375";"  242";"    0";"  755";"10738";"  167";" 1710";"  265";"    9";"    0";" 2190";"  167";" 1710";"  668";"  255";"    0";" 3074"
"Total_2005";"19899";" 7985";" 7495";"  451";" 6831";"  881";"   16";"    0";"  538";"  467";"   79";"    9";"    0";"   10";"    7";"    0";"   21";"  222";"  314";" 4270";"  382";"  256";"    0";"  811";"10377";"  137";" 1735";"  280";"   10";"    0";" 2199";"  137";" 1735";"  690";"  271";"    0";" 3142"
"Total_2006";"20126";" 8037";" 7527";"  491";" 6859";"  922";"   16";"    0";"  563";"  383";"   79";"   10";"    0";"   10";"    8";"    0";"   22";"  221";"  344";" 4514";"  385";"  271";"    0";"  825";"10132";"  143";" 1742";"  290";"   10";"    0";" 2218";"  143";" 1742";"  714";"  285";"    0";" 3149"
"Total_2007";"20388";" 7810";" 7239";"  520";" 6867";"  966";"   17";"    0";"  304";"  399";"   79";"   10";"    0";"   10";"    8";"    0";"   23";"  218";"  375";" 4760";"  397";"  276";"    0";"  839";" 9910";"   77";" 1744";"  300";"   11";"    0";" 2165";"   77";" 1744";"  734";"  288";"    1";" 3112"
"Total_2008";"20602";" 7774";" 7177";"  550";" 6679";" 1003";"   18";"    0";"  442";"  213";"   79";"   11";"    0";"   11";"    8";"    0";"   23";"  219";"  407";" 4997";"  415";"  290";"    0";"  859";" 9710";"  112";" 1696";"  309";"   11";"    0";" 2167";"  112";" 1696";"  747";"  308";"    1";" 3168"
