"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"Total_1999";"16810";" 8123";" 7743";"  415";" 6783";"  834";"   28";"    5";"  893";"  662";"  101";"   19";"    5";"   20";"   16";"    1";"   33";"  258";"  260";" 3018";"  884";"  664";"   52";" 1415";"12965";"  227";" 1723";"  272";"   18";"    3";" 2196";"  227";" 1723";" 1127";"  676";"   53";" 3523"
"Total_2000";"18104";" 8419";" 8022";"  434";" 7097";"  892";"   29";"    6";"  845";"  674";"  107";"   20";"    6";"   22";"   18";"    2";"   35";"  274";"  288";" 3276";"  921";"  731";"   57";" 1495";"13870";"  215";" 1803";"  288";"   18";"    4";" 2281";"  215";" 1803";" 1185";"  748";"   58";" 3673"
"Total_2001";"19362";" 8829";" 8386";"  457";" 7340";"  949";"   31";"    7";"  941";"  635";"  110";"   22";"    7";"   23";"   18";"    2";"   37";"  293";"  316";" 3533";"  977";"  733";"   63";" 1527";"14711";"  239";" 1864";"  305";"   20";"    4";" 2392";"  239";" 1864";" 1247";"  749";"   66";" 3812"
"Total_2002";"19981";" 9050";" 8619";"  476";" 7679";" 1006";"   34";"    8";"  825";"  712";"  114";"   23";"    8";"   24";"   20";"    2";"   39";"  293";"  348";" 3803";"  985";"  777";"   76";" 1627";"14510";"  210";" 1950";"  324";"   22";"    5";" 2456";"  210";" 1950";" 1284";"  792";"   77";" 4006"
"Total_2003";"20480";" 9086";" 8607";"  501";" 7874";" 1068";"   36";"   10";"  616";"  623";"  119";"   24";"   10";"   25";"   20";"    2";"   41";"  291";"  383";" 4068";" 1019";"  781";"   84";" 1659";"14225";"  156";" 2000";"  341";"   23";"    6";" 2478";"  156";" 2000";" 1320";"  800";"   87";" 4036"
"Total_2004";"20794";" 9313";" 8821";"  545";" 7921";" 1128";"   37";"   12";"  798";"  467";"  122";"   25";"   12";"   26";"   21";"    2";"   43";"  285";"  415";" 4323";" 1058";"  803";"   98";" 1717";"13657";"  203";" 2012";"  360";"   23";"    8";" 2546";"  203";" 2012";" 1401";"  824";"  101";" 4167"
"Total_2005";"21085";" 9355";" 8814";"  591";" 8064";" 1189";"   38";"   14";"  654";"  595";"  122";"   27";"   14";"   27";"   23";"    3";"   45";"  285";"  454";" 4591";" 1089";"  872";"  107";" 1789";"13329";"  166";" 2048";"  376";"   24";"    9";" 2573";"  166";" 2048";" 1432";"  888";"  111";" 4251"
"Total_2006";"21359";" 9456";" 8868";"  642";" 8106";" 1242";"   40";"   15";"  685";"  493";"  122";"   28";"   15";"   27";"   23";"    3";"   46";"  281";"  492";" 4849";" 1068";"  861";"  123";" 1794";"12981";"  174";" 2059";"  388";"   25";"    9";" 2607";"  174";" 2059";" 1417";"  879";"  126";" 4278"
"Total_2007";"21611";" 9212";" 8597";"  684";" 8158";" 1303";"   42";"   16";"  388";"  517";"  126";"   28";"   16";"   28";"   24";"    3";"   48";"  283";"  530";" 5106";" 1103";"  895";"  120";" 1834";"12837";"   99";" 2072";"  405";"   27";"   10";" 2557";"   99";" 2072";" 1480";"  916";"  125";" 4277"
"Total_2008";"21854";" 9222";" 8535";"  725";" 7973";" 1356";"   42";"   20";"  552";"  291";"  124";"   29";"   20";"   29";"   24";"    3";"   49";"  280";"  574";" 5362";" 1103";"  905";"  123";" 1836";"12523";"  140";" 2025";"  419";"   27";"   13";" 2566";"  140";" 2025";" 1493";"  929";"  130";" 4280"
