"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"Former-PWID-Will-Relapse_1995";"4292";"1997";"1889";" 126";"1853";" 250";"  10";"   2";NA;"  83";"  34";"   7";"   2";"   8";"   6";"   1";"  12";"   8";"  69";"  46";" 349";" 283";"  47";" 535";" 379";"   0";" 471";"  81";"   6";"   1";" 548";"   0";" 471";" 418";" 287";"  48";"1042"
"Former-PWID-Will-Relapse_1996";"4580";"2118";"2001";" 136";"1964";" 271";"  11";"   3";NA;"  84";"  35";"   8";"   3";"   9";"   7";"   1";"  13";"   9";"  77";"  51";" 386";" 304";"  48";" 574";" 375";"   0";" 499";"  88";"   7";"   2";" 582";"   0";" 499";" 462";" 308";"  48";"1108"
"Former-PWID-Will-Relapse_1997";"4857";"2232";"2109";" 143";"2063";" 290";"  11";"   3";NA;"  73";"  37";"   8";"   3";"   9";"   7";"   1";"  13";"   9";"  85";"  57";" 385";" 320";"  45";" 588";" 414";"   0";" 524";"  93";"   7";"   2";" 613";"   0";" 524";" 465";" 324";"  45";"1162"
"Former-PWID-Will-Relapse_1998";"5192";"2355";"2219";" 150";"2174";" 311";"  13";"   2";NA;"  90";"  39";"   9";"   2";"   9";"   7";"   1";"  14";"  10";"  95";"  63";" 397";" 311";"  49";" 595";" 444";"   0";" 552";" 100";"   8";"   1";" 645";"   0";" 552";" 485";" 315";"  50";"1220"
"Former-PWID-Will-Relapse_1999";"5537";"2475";"2332";" 158";"2292";" 330";"  13";"   3";NA;"  86";"  40";"   9";"   3";"  10";"   8";"   1";"  15";"  11";" 107";"  69";" 404";" 337";"  47";" 655";" 484";"   0";" 582";" 105";"   8";"   2";" 681";"   0";" 582";" 495";" 341";"  48";"1302"
"Former-PWID-Will-Relapse_2000";"5937";"2597";"2446";" 164";"2404";" 354";"  13";"   4";NA;"  87";"  42";"   9";"   4";"  10";"   8";"   1";"  16";"  11";" 117";"  76";" 421";" 354";"  47";" 672";" 493";"   0";" 611";" 112";"   8";"   3";" 717";"   0";" 611";" 517";" 361";"  49";"1345"
"Former-PWID-Will-Relapse_2001";"6355";"2710";"2558";" 174";"2505";" 377";"  14";"   4";NA;"  82";"  44";"  10";"   4";"  10";"   9";"   1";"  17";"  13";" 129";"  84";" 435";" 355";"  50";" 697";" 533";"   0";" 636";" 120";"   9";"   3";" 750";"   0";" 636";" 539";" 360";"  51";"1399"
"Former-PWID-Will-Relapse_2002";"6718";"2834";"2671";" 181";"2614";" 394";"  15";"   5";NA;"  91";"  46";"  11";"   5";"  11";"   9";"   1";"  18";"  13";" 141";"  92";" 469";" 379";"  49";" 746";" 527";"   0";" 664";" 126";"   9";"   3";" 787";"   0";" 664";" 581";" 385";"  51";"1481"
"Former-PWID-Will-Relapse_2003";"7070";"2934";"2763";" 190";"2694";" 420";"  16";"   6";NA;"  80";"  47";"  11";"   6";"  11";"  10";"   2";"  18";"  14";" 153";" 102";" 467";" 387";"  62";" 723";" 585";"   0";" 684";" 133";"  10";"   4";" 813";"   0";" 684";" 579";" 398";"  63";"1491"
"Former-PWID-Will-Relapse_2004";"7330";"3021";"2838";" 205";"2774";" 441";"  17";"   7";NA;"  61";"  48";"  12";"   7";"  12";"  10";"   2";"  19";"  16";" 169";" 112";" 473";" 395";"  79";" 776";" 622";"   0";" 705";" 139";"  11";"   4";" 838";"   0";" 705";" 598";" 403";"  80";"1556"
"Former-PWID-Will-Relapse_2005";"7547";"3089";"2883";" 225";"2840";" 465";"  17";"   8";NA;"  77";"  49";"  13";"   8";"  12";"  11";"   2";"  20";"  16";" 183";" 123";" 491";" 418";"  76";" 788";" 647";"   0";" 721";" 146";"  11";"   5";" 862";"   0";" 721";" 621";" 426";"  77";"1594"
"Former-PWID-Will-Relapse_2006";"7715";"3141";"2917";" 243";"2876";" 486";"  17";"   9";NA;"  66";"  50";"  13";"   9";"  12";"  10";"   2";"  20";"  18";" 197";" 135";" 485";" 390";"  82";" 774";" 674";"   0";" 731";" 151";"  11";"   6";" 879";"   0";" 731";" 616";" 399";"  85";"1591"
"Former-PWID-Will-Relapse_2007";"7884";"3188";"2955";" 261";"2918";" 506";"  17";"  10";NA;"  69";"  51";"  13";"  10";"  12";"  11";"   2";"  21";"  19";" 211";" 147";" 489";" 405";"  83";" 785";" 674";"   0";" 741";" 156";"  11";"   6";" 894";"   0";" 741";" 629";" 415";"  87";"1623"
"Former-PWID-Will-Relapse_2008";"7990";"3178";"2914";" 275";"2902";" 525";"  18";"  11";NA;"  40";"  50";"  14";"  11";"  13";"  11";"   2";"  21";"  19";" 228";" 161";" 510";" 414";"  78";" 823";" 709";"   0";" 737";" 162";"  11";"   7";" 895";"   0";" 737";" 663";" 420";"  84";"1647"
"Former-PWID-Will-Relapse_2009";"8084";"3151";"2897";" 285";"2874";" 551";"  17";"  11";NA;"  55";"  49";"  14";"  11";"  13";"  11";"   3";"  22";"  21";" 242";" 175";" 502";" 415";" 103";" 822";" 742";"   0";" 730";" 168";"  11";"   7";" 892";"   0";" 730";" 647";" 423";" 108";"1669"
"Former-PWID-Will-Relapse_2010";"8153";"3130";"2862";" 298";"2843";" 562";"  18";"  12";NA;"  60";"  48";"  14";"  12";"  13";"  11";"   3";"  22";"  22";" 258";" 189";" 489";" 406";"  95";" 821";" 756";"   0";" 722";" 171";"  11";"   8";" 888";"   0";" 722";" 647";" 415";"  98";"1653"
"Former-PWID-Will-Relapse_2011";"8222";"3098";"2815";" 309";"2806";" 574";"  19";"  14";NA;"  57";"  49";"  15";"  14";"  13";"  11";"   3";"  22";"  22";" 274";" 207";" 492";" 415";"  98";" 785";" 760";"   0";" 713";" 172";"  12";"   9";" 886";"   0";" 713";" 650";" 424";" 105";"1601"
"Former-PWID-Will-Relapse_2012";"8262";"3052";"2768";" 319";"2762";" 589";"  19";"  15";NA;"  48";"  46";"  15";"  15";"  13";"  12";"   3";"  23";"  24";" 287";" 224";" 485";" 404";" 112";" 805";" 782";"   0";" 702";" 177";"  12";"   9";" 877";"   0";" 702";" 641";" 413";" 121";"1631"
"Former-PWID-Will-Relapse_2013";"8277";"3002";"2705";" 328";"2712";" 597";"  19";"  15";NA;"  47";"  47";"  16";"  15";"  14";"  12";"   3";"  22";"  25";" 304";" 243";" 478";" 410";" 112";" 784";" 796";"   0";" 689";" 178";"  12";"   9";" 863";"   0";" 689";" 637";" 418";" 119";"1591"
"Former-PWID-Will-Relapse_2014";"8296";"2951";"2655";" 331";"2649";" 606";"  19";"  16";NA;"  45";"  46";"  15";"  16";"  14";"  12";"   3";"  23";"  27";" 321";" 263";" 480";" 407";" 118";" 797";" 839";"   0";" 673";" 179";"  12";"  10";" 851";"   0";" 673";" 643";" 415";" 121";"1585"
"Former-PWID-Will-Relapse_2015";"8296";"2892";"2589";" 338";"2593";" 614";"  19";"  17";NA;"  44";"  43";"  15";"  17";"  14";"  12";"   3";"  23";"  28";" 336";" 281";" 473";" 406";" 107";" 765";" 838";"   0";" 659";" 182";"  12";"  11";" 839";"   0";" 659";" 634";" 413";" 112";"1545"
"Former-PWID-Will-Relapse_2016";"8300";"2822";"2520";" 344";"2534";" 622";"  19";"  16";NA;"  43";"  44";"  16";"  16";"  13";"  12";"   3";"  23";"  29";" 355";" 302";" 437";" 398";" 116";" 748";" 846";"   0";" 644";" 183";"  12";"  10";" 822";"   0";" 644";" 597";" 407";" 122";"1511"
"Former-PWID-Will-Relapse_2017";"8291";"2761";"2455";" 344";"2472";" 630";"  19";"  17";NA;"  43";"  42";"  15";"  17";"  13";"  11";"   3";"  22";"  31";" 370";" 326";" 436";" 374";" 105";" 717";" 872";"   0";" 628";" 185";"  12";"  11";" 808";"   0";" 628";" 602";" 383";" 112";"1472"
"Former-PWID-Will-Relapse_2018";"8266";"2689";"2381";" 351";"2403";" 631";"  18";"  18";NA;"  43";"  41";"  16";"  18";"  13";"  12";"   4";"  22";"  33";" 387";" 351";" 424";" 359";" 118";" 716";" 883";"   0";" 610";" 184";"  11";"  11";" 789";"   0";" 610";" 590";" 366";" 130";"1463"
"Former-PWID-Will-Relapse_2019";"8237";"2620";"2313";" 353";"2335";" 628";"  19";"  18";NA;"  42";"  40";"  15";"  18";"  13";"  11";"   4";"  23";"  35";" 404";" 377";" 411";" 346";" 127";" 697";" 932";"   0";" 593";" 185";"  12";"  11";" 772";"   0";" 593";" 578";" 357";" 135";"1418"
"Former-PWID-Will-Relapse_2020";"8219";"2554";"2249";" 355";"2272";" 627";"  18";"  20";NA;"  41";"  39";"  15";"  20";"  13";"  11";"   4";"  22";"  37";" 418";" 403";" 418";" 342";" 126";" 666";" 921";"   0";" 577";" 183";"  11";"  13";" 757";"   0";" 577";" 588";" 348";" 134";"1372"
"Former-PWID-Will-Relapse_2021";"8187";"2485";"2177";" 354";"2198";" 631";"  18";"  20";NA;"  41";"  38";"  14";"  20";"  13";"  11";"   4";"  21";"  38";" 433";" 432";" 397";" 343";" 110";" 635";" 937";"   0";" 558";" 185";"  11";"  13";" 738";"   0";" 558";" 554";" 348";" 119";"1336"
"Former-PWID-Will-Relapse_2022";"8155";"2420";"2115";" 355";"2143";" 630";"  17";"  18";NA;"  41";"  36";"  15";"  18";"  13";"  11";"   4";"  22";"  41";" 451";" 465";" 380";" 316";" 121";" 632";" 946";"   0";" 544";" 184";"  11";"  11";" 720";"   0";" 544";" 546";" 323";" 131";"1305"
"Former-PWID-Will-Relapse_2023";"8129";"2363";"2048";" 353";"2081";" 619";"  17";"  19";NA;"  40";"  36";"  15";"  19";"  13";"  11";"   4";"  21";"  43";" 466";" 498";" 365";" 308";" 113";" 599";" 968";"   0";" 529";" 180";"  11";"  12";" 704";"   0";" 529";" 527";" 316";" 121";"1264"
"Former-PWID-Will-Relapse_2024";"8090";"2307";"1993";" 355";"2031";" 614";"  17";"  18";NA;"  39";"  34";"  15";"  18";"  13";"  11";"   4";"  21";"  45";" 482";" 535";" 353";" 294";" 118";" 569";" 984";"   0";" 516";" 181";"  11";"  11";" 690";"   0";" 516";" 517";" 301";" 126";"1215"
"Former-PWID-Will-Relapse_2025";"8051";"2243";"1937";" 358";"1968";" 612";"  16";"  20";NA;"  39";"  34";"  15";"  20";"  12";"  10";"   4";"  21";"  47";" 497";" 571";" 328";" 278";" 111";" 572";" 980";"   0";" 500";" 179";"  10";"  13";" 673";"   0";" 500";" 491";" 286";" 117";"1194"
"Former-PWID-Will-Relapse_2026";"8006";"2181";"1874";" 355";"1912";" 612";"  16";"  19";NA;"  38";"  32";"  15";"  19";"  12";"  11";"   4";"  20";"  50";" 511";" 610";" 320";" 279";" 114";" 536";"1006";"   0";" 486";" 179";"  10";"  12";" 656";"   0";" 486";" 484";" 286";" 123";"1142"
"Former-PWID-Will-Relapse_2027";"7963";"2128";"1810";" 354";"1859";" 605";"  16";"  18";NA;"  38";"  33";"  14";"  18";"  12";"  10";"   4";"  20";"  53";" 527";" 654";" 318";" 267";" 104";" 525";"1022";"   0";" 472";" 178";"  10";"  11";" 642";"   0";" 472";" 463";" 271";" 110";"1120"
"Former-PWID-Will-Relapse_2028";"7920";"2078";"1765";" 355";"1807";" 600";"  16";"  17";NA;"  37";"  31";"  15";"  17";"  12";"  10";"   4";"  20";"  56";" 540";" 698";" 295";" 251";" 105";" 500";"1040";"   0";" 459";" 176";"  10";"  11";" 629";"   0";" 459";" 447";" 257";" 112";"1089"
"Former-PWID-Will-Relapse_2029";"7870";"2029";"1722";" 353";"1763";" 590";"  16";"  17";NA;"  36";"  30";"  14";"  17";"  12";"  10";"   4";"  20";"  59";" 554";" 747";" 290";" 255";"  91";" 476";"1020";"   0";" 448";" 172";"  10";"  11";" 614";"   0";" 448";" 441";" 261";"  97";"1042"
"Former-PWID-Will-Relapse_2030";"7834";"1989";"1678";" 349";"1716";" 574";"  15";"  16";NA;"  36";"  30";"  14";"  16";"  11";"  10";"   4";"  19";"  61";" 567";" 800";" 265";" 226";"  89";" 456";"1032";"   0";" 436";" 171";"   9";"  10";" 602";"   0";" 436";" 421";" 232";"  99";"1016"
"Former-PWID-Wont-Relapse_1973";"18";"10";"10";" 1";"10";" 0";" 0";" 0";NA;" 7";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 3";" 0";" 0";" 0";" 3";" 0";" 3";" 0";" 0";" 0";" 3"
"Former-PWID-Wont-Relapse_1974";"41";"21";"20";" 2";"21";" 1";" 0";" 0";NA;" 8";" 1";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 5";" 0";" 0";" 0";" 5";" 0";" 5";" 1";" 0";" 0";" 5"
"Former-PWID-Wont-Relapse_1975";"69";"34";"33";" 3";"33";" 3";" 0";" 0";NA;" 9";" 1";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 8";" 1";" 0";" 0";" 9";" 0";" 8";" 1";" 0";" 0";" 9"
"Former-PWID-Wont-Relapse_1976";"104";" 51";" 48";"  4";" 49";"  4";"  0";"  0";NA;" 10";"  2";"  0";"  0";"  0";"  0";"  0";"  0";"  0";"  0";"  1";"  0";"  0";"  0";"  0";"  0";"  0";" 12";"  2";"  0";"  0";" 13";"  0";" 12";"  2";"  0";"  0";" 14"
"Former-PWID-Wont-Relapse_1977";"143";" 70";" 67";"  6";" 68";"  5";"  1";"  0";NA;" 11";"  3";"  0";"  0";"  1";"  0";"  0";"  1";"  1";"  1";"  1";" 54";"  0";"  0";" 58";" 54";"  0";" 17";"  2";"  1";"  0";" 18";"  0";" 17";" 55";"  1";"  0";" 74"
"Former-PWID-Wont-Relapse_1978";"190";" 95";" 90";"  8";" 91";"  8";"  1";"  0";NA;" 12";"  3";"  1";"  0";"  1";"  0";"  0";"  1";"  1";"  1";"  1";" 57";"  0";"  0";" 59";" 61";"  0";" 23";"  3";"  1";"  0";" 25";"  0";" 23";" 59";"  1";"  0";" 80"
"Former-PWID-Wont-Relapse_1979";"243";"120";"114";" 10";"115";" 11";"  1";"  0";NA;" 12";"  4";"  1";"  0";"  1";"  0";"  0";"  1";"  1";"  2";"  2";" 57";"  0";"  0";" 59";" 61";"  0";" 29";"  4";"  1";"  0";" 32";"  0";" 29";" 59";"  1";"  0";" 86"
"Former-PWID-Wont-Relapse_1980";"304";"149";"142";" 12";"143";" 14";"  1";"  0";NA;" 14";"  4";"  1";"  0";"  1";"  1";"  0";"  1";"  1";"  2";"  2";" 60";" 55";"  0";" 61";" 62";"  0";" 36";"  5";"  1";"  0";" 39";"  0";" 36";" 62";" 55";"  0";" 95"
"Former-PWID-Wont-Relapse_1981";"372";"181";"172";" 14";"174";" 17";"  1";"  0";NA;" 15";"  5";"  1";"  0";"  1";"  1";"  0";"  1";"  1";"  3";"  3";" 59";" 58";"  0";" 62";" 61";"  0";" 44";"  6";"  1";"  0";" 48";"  0";" 44";" 63";" 58";"  0";"107"
"Former-PWID-Wont-Relapse_1982";"442";"218";"207";" 16";"206";" 22";"  2";"  0";NA;" 14";"  6";"  1";"  0";"  1";"  1";"  0";"  2";"  1";"  3";"  3";" 61";" 58";"  0";"102";" 64";"  0";" 52";"  8";"  1";"  0";" 58";"  0";" 52";" 67";" 58";"  0";"153"
"Former-PWID-Wont-Relapse_1983";"520";"256";"242";" 19";"241";" 26";"  2";"  1";NA;" 15";"  7";"  1";"  1";"  1";"  1";"  0";"  2";"  2";"  4";"  4";" 65";" 59";"  0";"108";"106";"  0";" 61";"  9";"  1";"  1";" 68";"  0";" 61";" 70";" 59";"  1";"165"
"Former-PWID-Wont-Relapse_1984";"606";"295";"280";" 21";"277";" 33";"  2";"  1";NA;" 14";"  7";"  2";"  1";"  2";"  1";"  0";"  2";"  2";"  5";"  4";"101";" 58";"  0";"110";"108";"  0";" 70";" 11";"  1";"  1";" 79";"  0";" 70";"109";" 58";"  1";"181"
"Former-PWID-Wont-Relapse_1985";"699";"331";"315";" 23";"313";" 38";"  2";"  1";NA;" 15";"  8";"  2";"  1";"  2";"  1";"  0";"  3";"  2";"  6";"  5";"106";" 59";"  0";"138";"111";"  0";" 80";" 13";"  1";"  1";" 89";"  0";" 80";"117";" 59";"  1";"220"
"Former-PWID-Wont-Relapse_1986";"797";"373";"353";" 27";"350";" 44";"  3";"  1";NA;" 16";"  9";"  2";"  1";"  2";"  2";"  0";"  3";"  2";"  8";"  6";"106";"100";"  0";"153";"108";"  0";" 89";" 15";"  2";"  1";"101";"  0";" 89";"117";"102";"  1";"242"
"Former-PWID-Wont-Relapse_1987";"902";"417";"395";" 30";"390";" 52";"  3";"  1";NA;" 14";"  9";"  2";"  1";"  2";"  2";"  0";"  3";"  3";"  9";"  7";"117";" 98";"  0";"159";"133";"  0";" 99";" 17";"  2";"  1";"113";"  0";" 99";"130";" 99";"  1";"262"
"Former-PWID-Wont-Relapse_1988";"1018";" 461";" 436";"  33";" 431";"  60";"   4";"   1";NA;"  15";"  11";"   3";"   1";"   3";"   2";"   0";"   4";"   3";"  12";"   8";" 146";" 102";"   0";" 187";" 145";"   0";" 109";"  20";"   3";"   1";" 125";"   0";" 109";" 161";" 103";"   1";" 300"
"Former-PWID-Wont-Relapse_1989";"1135";" 508";" 477";"  36";" 471";"  69";"   4";"   1";NA;"  16";"  11";"   3";"   1";"   3";"   2";"   0";"   4";"   3";"  14";"   9";" 147";" 111";"   0";" 200";" 151";"   0";" 120";"  23";"   3";"   1";" 139";"   0";" 120";" 164";" 112";"   1";" 331"
"Former-PWID-Wont-Relapse_1990";"1254";" 551";" 518";"  41";" 512";"  78";"   4";"   1";NA;"  15";"  12";"   3";"   1";"   3";"   3";"   0";"   4";"   4";"  16";"  11";" 150";" 139";"   0";" 206";" 176";"   0";" 130";"  25";"   3";"   1";" 151";"   0";" 130";" 169";" 140";"   1";" 342"
"Former-PWID-Wont-Relapse_1991";"1382";" 601";" 569";"  43";" 559";"  88";"   5";"   1";NA;"  18";"  12";"   3";"   1";"   4";"   3";"   0";"   5";"   4";"  18";"  13";" 157";" 143";"   0";" 237";" 168";"   0";" 142";"  28";"   3";"   1";" 165";"   0";" 142";" 182";" 144";"   1";" 387"
"Former-PWID-Wont-Relapse_1992";"1514";" 652";" 616";"  46";" 603";"  98";"   5";"   1";NA;"  20";"  13";"   4";"   1";"   4";"   3";"   0";"   5";"   4";"  21";"  14";" 184";" 141";"   0";" 243";" 160";"   0";" 153";"  31";"   3";"   1";" 181";"   0";" 153";" 208";" 143";"   1";" 410"
"Former-PWID-Wont-Relapse_1993";"1654";" 711";" 669";"  49";" 654";" 109";"   6";"   1";NA;"  22";"  14";"   4";"   1";"   4";"   4";"   0";"   6";"   4";"  25";"  17";" 175";" 157";"   0";" 267";" 206";"   0";" 166";"  35";"   4";"   1";" 197";"   0";" 166";" 203";" 161";"   1";" 445"
"Former-PWID-Wont-Relapse_1994";"1795";" 768";" 722";"  55";" 706";" 121";"   6";"   1";NA;"  19";"  15";"   4";"   1";"   4";"   4";"   1";"   6";"   5";"  28";"  18";" 191";" 160";"  36";" 280";" 219";"   0";" 179";"  39";"   4";"   1";" 213";"   0";" 179";" 221";" 160";"  37";" 478"
"Former-PWID-Wont-Relapse_1995";"1948";" 824";" 778";"  59";" 758";" 133";"   6";"   2";NA;"  22";"  16";"   5";"   2";"   5";"   4";"   1";"   7";"   5";"  33";"  21";" 210";" 180";"  30";" 303";" 226";"   0";" 193";"  42";"   4";"   1";" 230";"   0";" 193";" 240";" 181";"  30";" 517"
"Former-PWID-Wont-Relapse_1996";"2116";" 894";" 841";"  63";" 822";" 147";"   7";"   2";NA;"  22";"  17";"   5";"   2";"   5";"   4";"   1";"   8";"   5";"  38";"  24";" 214";" 184";"  33";" 328";" 222";"   0";" 209";"  46";"   4";"   1";" 249";"   0";" 209";" 253";" 187";"  33";" 557"
"Former-PWID-Wont-Relapse_1997";"2292";" 956";" 903";"  67";" 879";" 161";"   7";"   2";NA;"  20";"  18";"   5";"   2";"   5";"   4";"   1";"   8";"   6";"  43";"  27";" 226";" 191";"  41";" 344";" 239";"   0";" 223";"  50";"   4";"   1";" 268";"   0";" 223";" 271";" 192";"  41";" 592"
"Former-PWID-Wont-Relapse_1998";"2479";"1021";" 959";"  71";" 931";" 174";"   8";"   2";NA;"  24";"  19";"   6";"   2";"   6";"   5";"   1";"   9";"   6";"  48";"  30";" 248";" 219";"  40";" 388";" 258";"   0";" 236";"  55";"   5";"   1";" 288";"   0";" 236";" 294";" 222";"  40";" 640"
"Former-PWID-Wont-Relapse_1999";"2687";"1088";"1028";"  76";" 991";" 189";"   8";"   2";NA;"  23";"  20";"   6";"   2";"   6";"   5";"   1";"   9";"   7";"  54";"  35";" 240";" 199";"  35";" 368";" 269";"   0";" 252";"  60";"   5";"   1";" 307";"   0";" 252";" 292";" 202";"  35";" 650"
"Former-PWID-Wont-Relapse_2000";"2910";"1160";"1090";"  82";"1058";" 207";"   9";"   2";NA;"  24";"  21";"   6";"   2";"   6";"   6";"   1";"  10";"   8";"  60";"  39";" 264";" 238";"  40";" 402";" 302";"   0";" 269";"  65";"   6";"   1";" 328";"   0";" 269";" 321";" 243";"  41";" 705"
"Former-PWID-Wont-Relapse_2001";"3136";"1229";"1157";"  85";"1116";" 224";"   9";"   3";NA;"  22";"  22";"   7";"   3";"   6";"   6";"   1";"  10";"   8";"  67";"  43";" 259";" 250";"  44";" 416";" 319";"   0";" 283";"  70";"   6";"   2";" 349";"   0";" 283";" 317";" 253";"  45";" 734"
"Former-PWID-Wont-Relapse_2002";"3378";"1299";"1223";"  92";"1173";" 242";"  10";"   4";NA;"  24";"  24";"   7";"   4";"   7";"   6";"   1";"  11";"   9";"  74";"  48";" 277";" 249";"  47";" 441";" 326";"   0";" 298";"  75";"   6";"   3";" 370";"   0";" 298";" 340";" 253";"  49";" 772"
"Former-PWID-Wont-Relapse_2003";"3603";"1372";"1292";"  96";"1239";" 260";"  11";"   4";NA;"  21";"  24";"   8";"   4";"   7";"   6";"   1";"  11";"  10";"  82";"  54";" 296";" 251";"  46";" 442";" 364";"   0";" 315";"  80";"   7";"   3";" 391";"   0";" 315";" 364";" 257";"  47";" 803"
"Former-PWID-Wont-Relapse_2004";"3831";"1443";"1346";" 108";"1301";" 278";"  11";"   5";NA;"  18";"  26";"   8";"   5";"   8";"   7";"   1";"  13";"  11";"  91";"  60";" 304";" 259";"  53";" 488";" 405";"   0";" 330";"  86";"   7";"   3";" 412";"   0";" 330";" 372";" 265";"  53";" 864"
"Former-PWID-Wont-Relapse_2005";"4056";"1503";"1402";" 118";"1353";" 298";"  12";"   6";NA;"  21";"  26";"   9";"   6";"   8";"   7";"   1";"  13";"  11";"  98";"  67";" 306";" 276";"  53";" 480";" 406";"   0";" 344";"  91";"   8";"   4";" 432";"   0";" 344";" 380";" 281";"  53";" 883"
"Former-PWID-Wont-Relapse_2006";"4269";"1557";"1440";" 130";"1401";" 316";"  12";"   6";NA;"  18";"  27";"   9";"   6";"   8";"   7";"   2";"  14";"  13";" 107";"  75";" 314";" 273";"  62";" 498";" 432";"   0";" 356";"  96";"   8";"   4";" 448";"   0";" 356";" 401";" 277";"  64";" 914"
"Former-PWID-Wont-Relapse_2007";"4481";"1606";"1482";" 142";"1446";" 335";"  13";"   7";NA;"  19";"  27";"  10";"   7";"   9";"   8";"   2";"  14";"  14";" 118";"  84";" 329";" 279";"  61";" 519";" 471";"   0";" 367";" 103";"   8";"   4";" 466";"   0";" 367";" 414";" 283";"  62";" 952"
"Former-PWID-Wont-Relapse_2008";"4694";"1653";"1513";" 152";"1479";" 357";"  13";"   8";NA;"  12";"  27";"  10";"   8";"   9";"   8";"   2";"  15";"  15";" 128";"  95";" 329";" 296";"  68";" 547";" 481";"   0";" 376";" 107";"   8";"   5";" 478";"   0";" 376";" 421";" 301";"  69";" 987"
"Former-PWID-Wont-Relapse_2009";"4905";"1681";"1537";" 164";"1504";" 381";"  13";"   9";NA;"  16";"  28";"  11";"   9";"   9";"   9";"   2";"  15";"  16";" 138";" 106";" 322";" 301";"  76";" 530";" 507";"   0";" 382";" 114";"   8";"   6";" 491";"   0";" 382";" 421";" 307";"  79";" 990"
"Former-PWID-Wont-Relapse_2010";"5112";"1714";"1558";" 177";"1535";" 400";"  14";"   9";NA;"  17";"  28";"  11";"   9";"  10";"   8";"   2";"  16";"  18";" 148";" 118";" 332";" 298";"  73";" 535";" 554";"   0";" 390";" 120";"   9";"   6";" 503";"   0";" 390";" 436";" 303";"  76";"1010"
"Former-PWID-Wont-Relapse_2011";"5312";"1747";"1576";" 186";"1551";" 417";"  15";"  10";NA;"  16";"  28";"  12";"  10";"  10";"   9";"   2";"  17";"  19";" 160";" 132";" 337";" 303";"  86";" 560";" 573";"   0";" 394";" 124";"   9";"   6";" 513";"   0";" 394";" 441";" 311";"  89";"1052"
"Former-PWID-Wont-Relapse_2012";"5507";"1766";"1589";" 196";"1565";" 436";"  14";"  12";NA;"  14";"  29";"  12";"  12";"  10";"   9";"   2";"  18";"  21";" 170";" 145";" 351";" 298";"  84";" 574";" 612";"   0";" 398";" 130";"   9";"   8";" 522";"   0";" 398";" 463";" 305";"  86";"1056"
"Former-PWID-Wont-Relapse_2013";"5679";"1784";"1599";" 206";"1575";" 457";"  14";"  13";NA;"  13";"  29";"  12";"  13";"  11";"   9";"   2";"  17";"  23";" 182";" 162";" 345";" 293";"  79";" 544";" 645";"   0";" 400";" 135";"   9";"   8";" 531";"   0";" 400";" 463";" 301";"  83";"1039"
"Former-PWID-Wont-Relapse_2014";"5879";"1800";"1608";" 219";"1578";" 478";"  16";"  14";NA;"  13";"  28";"  13";"  14";"  11";"  10";"   3";"  18";"  25";" 195";" 179";" 337";" 301";"  91";" 571";" 664";"   0";" 401";" 141";"  10";"   9";" 539";"   0";" 401";" 460";" 305";" 100";"1064"
"Former-PWID-Wont-Relapse_2015";"6052";"1808";"1600";" 226";"1576";" 495";"  16";"  14";NA;"  13";"  29";"  13";"  14";"  11";"  10";"   3";"  18";"  27";" 208";" 201";" 340";" 302";"  96";" 567";" 694";"   0";" 400";" 147";"  10";"   9";" 543";"   0";" 400";" 467";" 308";"  99";"1075"
