"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"Former-PWID-Wont-Relapse_1987";"850";"378";"357";"21";"353";"37";"1";"0";NA;"9";"5";"1";"0";"1";"0";"0";"1";"1";"5";"3";"30";"20";"0";"51";"32";"0";"90";"12";"1";"0";"102";"0";"90";"42";"21";"0";"153"
"Former-PWID-Wont-Relapse_1988";"954";"418";"395";"24";"390";"44";"1";"0";NA;"9";"5";"1";"0";"1";"1";"0";"1";"1";"6";"4";"35";"24";"1";"59";"37";"0";"99";"14";"1";"0";"114";"0";"99";"49";"25";"1";"173"
"Former-PWID-Wont-Relapse_1989";"1066";"460";"434";"26";"427";"51";"1";"0";NA;"10";"6";"1";"0";"1";"1";"0";"1";"1";"7";"5";"40";"28";"1";"69";"42";"0";"109";"16";"1";"0";"126";"0";"109";"56";"29";"1";"195"
"Former-PWID-Wont-Relapse_1990";"1181";"501";"473";"29";"464";"58";"1";"0";NA;"8";"6";"1";"0";"1";"1";"0";"2";"1";"9";"6";"45";"33";"1";"79";"48";"0";"118";"19";"1";"0";"138";"0";"118";"64";"34";"1";"217"
"Former-PWID-Wont-Relapse_1991";"1302";"545";"514";"32";"504";"66";"2";"0";NA;"12";"7";"1";"0";"1";"1";"0";"2";"1";"11";"7";"50";"38";"1";"89";"53";"0";"128";"21";"1";"0";"150";"0";"128";"71";"39";"1";"239"
"Former-PWID-Wont-Relapse_1992";"1427";"592";"558";"34";"546";"75";"2";"0";NA;"12";"8";"1";"0";"1";"1";"0";"2";"1";"13";"9";"56";"43";"1";"100";"60";"0";"139";"24";"1";"0";"164";"0";"139";"80";"44";"1";"264"
"Former-PWID-Wont-Relapse_1993";"1562";"644";"606";"38";"592";"85";"2";"0";NA;"14";"8";"1";"0";"1";"1";"0";"2";"2";"16";"10";"62";"48";"1";"111";"67";"0";"150";"27";"1";"0";"178";"0";"150";"89";"49";"1";"289"
"Former-PWID-Wont-Relapse_1994";"1700";"696";"655";"41";"639";"95";"3";"0";NA;"12";"9";"2";"0";"2";"1";"0";"3";"2";"18";"12";"68";"54";"1";"123";"74";"0";"162";"30";"2";"0";"194";"0";"162";"98";"56";"1";"317"
"Former-PWID-Wont-Relapse_1995";"1849";"752";"707";"45";"689";"105";"3";"0";NA;"14";"10";"2";"0";"2";"1";"0";"3";"2";"22";"14";"74";"60";"2";"136";"82";"0";"175";"33";"2";"0";"210";"0";"175";"107";"62";"2";"346"
"Former-PWID-Wont-Relapse_1996";"2010";"810";"762";"48";"741";"117";"3";"0";NA;"15";"10";"2";"0";"2";"2";"0";"3";"2";"25";"16";"81";"66";"2";"148";"91";"0";"188";"36";"2";"0";"227";"0";"188";"117";"68";"2";"375"
"Former-PWID-Wont-Relapse_1997";"2179";"868";"816";"52";"792";"129";"3";"0";NA;"13";"11";"2";"0";"2";"2";"0";"4";"2";"29";"18";"88";"72";"2";"162";"101";"0";"201";"40";"2";"0";"243";"0";"201";"128";"74";"2";"405"
"Former-PWID-Wont-Relapse_1998";"2361";"930";"874";"56";"846";"141";"4";"0";NA;"16";"12";"2";"0";"2";"2";"0";"4";"3";"33";"21";"95";"79";"2";"176";"112";"0";"215";"44";"2";"0";"261";"0";"215";"139";"81";"2";"437"
"Former-PWID-Wont-Relapse_1999";"2558";"992";"932";"60";"902";"155";"4";"0";NA;"15";"13";"3";"0";"2";"2";"0";"5";"3";"38";"24";"102";"86";"2";"190";"124";"0";"229";"48";"3";"0";"280";"0";"229";"150";"89";"2";"470"
"Former-PWID-Wont-Relapse_2000";"2773";"1056";"992";"64";"958";"169";"5";"0";NA;"15";"13";"3";"0";"3";"2";"0";"5";"4";"43";"28";"110";"93";"2";"205";"137";"0";"243";"52";"3";"0";"298";"0";"243";"162";"96";"2";"503"
"Former-PWID-Wont-Relapse_2001";"3002";"1120";"1051";"69";"1014";"184";"5";"1";NA;"14";"14";"3";"1";"3";"3";"0";"6";"4";"49";"32";"117";"99";"3";"219";"152";"0";"258";"56";"3";"0";"317";"0";"258";"173";"102";"3";"536"
"Former-PWID-Wont-Relapse_2002";"3231";"1185";"1112";"73";"1071";"199";"5";"1";NA;"16";"15";"3";"1";"3";"3";"0";"6";"5";"55";"36";"125";"105";"4";"233";"168";"0";"272";"61";"3";"1";"337";"0";"272";"186";"108";"5";"570"
"Former-PWID-Wont-Relapse_2003";"3462";"1249";"1172";"77";"1127";"215";"6";"1";NA;"14";"16";"4";"1";"3";"3";"0";"7";"5";"61";"41";"132";"110";"5";"248";"185";"0";"286";"66";"4";"1";"356";"0";"286";"198";"114";"6";"604"
"Former-PWID-Wont-Relapse_2004";"3681";"1309";"1221";"88";"1179";"232";"6";"1";NA;"10";"17";"4";"1";"4";"3";"0";"7";"6";"68";"47";"140";"115";"6";"262";"203";"0";"299";"70";"4";"1";"374";"0";"299";"210";"119";"7";"636"
"Former-PWID-Wont-Relapse_2005";"3897";"1365";"1267";"97";"1227";"248";"6";"1";NA;"13";"17";"4";"1";"4";"3";"0";"7";"6";"75";"54";"145";"121";"7";"273";"221";"0";"312";"75";"4";"1";"392";"0";"312";"220";"125";"8";"665"
"Former-PWID-Wont-Relapse_2006";"4107";"1415";"1308";"107";"1269";"266";"7";"2";NA;"11";"18";"5";"2";"4";"3";"0";"8";"7";"83";"61";"150";"125";"8";"283";"240";"0";"322";"80";"4";"1";"408";"0";"322";"230";"129";"9";"691"
"Former-PWID-Wont-Relapse_2007";"4320";"1460";"1343";"117";"1307";"283";"7";"2";NA;"11";"18";"5";"2";"4";"4";"0";"8";"8";"91";"69";"154";"128";"9";"292";"261";"0";"332";"85";"4";"1";"422";"0";"332";"239";"132";"10";"714"
"Former-PWID-Wont-Relapse_2008";"4524";"1495";"1368";"127";"1336";"300";"7";"2";NA;"6";"19";"5";"2";"4";"4";"0";"9";"9";"100";"78";"158";"132";"11";"300";"282";"0";"339";"89";"5";"1";"435";"0";"339";"247";"137";"12";"735"
"Former-PWID-Wont-Relapse_2009";"4724";"1525";"1389";"136";"1359";"318";"7";"2";NA;"9";"19";"5";"2";"5";"4";"0";"9";"10";"109";"88";"161";"135";"12";"307";"305";"0";"345";"94";"5";"2";"446";"0";"345";"255";"140";"14";"753"
"Former-PWID-Wont-Relapse_2010";"4921";"1552";"1406";"145";"1379";"335";"8";"3";NA;"10";"19";"6";"3";"5";"4";"0";"9";"11";"118";"99";"163";"137";"13";"314";"328";"0";"350";"99";"5";"2";"456";"0";"350";"262";"142";"15";"770"
"Former-PWID-Wont-Relapse_2011";"5116";"1574";"1420";"155";"1395";"352";"8";"3";NA;"9";"19";"6";"3";"5";"4";"0";"10";"12";"128";"111";"165";"140";"14";"319";"353";"0";"354";"103";"5";"2";"465";"0";"354";"268";"145";"16";"784"
"Former-PWID-Wont-Relapse_2012";"5305";"1591";"1428";"164";"1405";"368";"8";"3";NA;"8";"20";"6";"3";"5";"4";"0";"10";"14";"138";"124";"167";"141";"15";"323";"379";"0";"357";"108";"5";"2";"472";"0";"357";"275";"146";"17";"795"
"Former-PWID-Wont-Relapse_2013";"5491";"1604";"1431";"172";"1411";"384";"8";"4";NA;"8";"20";"7";"4";"5";"5";"1";"10";"15";"148";"139";"168";"142";"17";"327";"406";"0";"358";"112";"5";"2";"478";"0";"358";"280";"147";"19";"805"
"Former-PWID-Wont-Relapse_2014";"5673";"1612";"1431";"181";"1413";"400";"9";"4";NA;"7";"20";"7";"4";"5";"5";"1";"11";"17";"159";"156";"168";"143";"18";"329";"435";"0";"359";"116";"5";"2";"483";"0";"359";"284";"148";"20";"812"
"Former-PWID-Wont-Relapse_2015";"5851";"1617";"1428";"189";"1412";"414";"9";"4";NA;"7";"19";"7";"4";"6";"5";"1";"11";"19";"170";"175";"169";"143";"19";"331";"464";"0";"359";"121";"6";"3";"487";"0";"359";"290";"149";"22";"818"
"Former-PWID-Wont-Relapse_2016";"6026";"1619";"1422";"197";"1407";"428";"9";"5";NA;"7";"19";"7";"5";"6";"5";"1";"11";"21";"181";"195";"168";"142";"20";"331";"495";"0";"358";"124";"6";"3";"490";"0";"358";"292";"148";"23";"821"
"Former-PWID-Wont-Relapse_2017";"6197";"1618";"1414";"204";"1401";"441";"9";"5";NA;"7";"19";"8";"5";"6";"5";"1";"11";"23";"193";"218";"168";"141";"21";"330";"526";"0";"356";"128";"6";"3";"493";"0";"356";"296";"147";"24";"823"
"Former-PWID-Wont-Relapse_2018";"6364";"1615";"1404";"212";"1392";"453";"9";"5";NA;"7";"19";"8";"5";"6";"5";"1";"12";"25";"204";"243";"167";"139";"22";"328";"558";"0";"354";"132";"6";"3";"494";"0";"354";"299";"145";"25";"822"
"Former-PWID-Wont-Relapse_2019";"6528";"1611";"1392";"219";"1381";"465";"9";"5";NA;"7";"19";"8";"5";"6";"5";"1";"12";"28";"216";"271";"165";"137";"23";"325";"591";"0";"351";"135";"6";"3";"495";"0";"351";"300";"143";"26";"820"
"Former-PWID-Wont-Relapse_2020";"6687";"1605";"1379";"226";"1369";"475";"9";"6";NA;"7";"19";"8";"6";"6";"5";"1";"12";"31";"228";"301";"163";"134";"24";"321";"625";"0";"348";"139";"6";"4";"496";"0";"348";"302";"140";"28";"817"
"Former-PWID-Wont-Relapse_2021";"6842";"1598";"1365";"232";"1357";"485";"9";"6";NA;"6";"18";"8";"6";"6";"5";"1";"12";"34";"241";"335";"161";"131";"24";"316";"659";"0";"345";"142";"6";"4";"496";"0";"345";"303";"137";"28";"812"
"Former-PWID-Wont-Relapse_2022";"6993";"1589";"1351";"239";"1343";"493";"9";"6";NA;"6";"18";"8";"6";"6";"5";"1";"12";"37";"253";"372";"158";"127";"25";"311";"694";"0";"341";"144";"6";"4";"495";"0";"341";"302";"133";"29";"806"
"Former-PWID-Wont-Relapse_2023";"7139";"1580";"1335";"245";"1328";"501";"9";"7";NA;"6";"18";"8";"7";"6";"5";"1";"12";"41";"265";"413";"155";"124";"25";"304";"729";"0";"337";"147";"6";"4";"494";"0";"337";"302";"130";"29";"798"
"Former-PWID-Wont-Relapse_2024";"7280";"1571";"1319";"251";"1313";"507";"9";"7";NA;"6";"18";"8";"7";"6";"5";"1";"13";"45";"278";"459";"152";"119";"25";"297";"763";"0";"334";"149";"6";"4";"493";"0";"334";"301";"125";"29";"790"
"Former-PWID-Wont-Relapse_2025";"7416";"1560";"1303";"257";"1298";"512";"9";"7";NA;"6";"17";"8";"7";"6";"5";"1";"13";"50";"291";"508";"149";"115";"25";"289";"797";"0";"330";"151";"6";"4";"491";"0";"330";"300";"121";"29";"780"
"Former-PWID-Wont-Relapse_2026";"7546";"1549";"1286";"263";"1282";"517";"9";"7";NA;"6";"17";"8";"7";"7";"5";"1";"13";"54";"303";"562";"145";"110";"25";"280";"831";"0";"326";"153";"6";"5";"489";"0";"326";"298";"116";"30";"769"
"Former-PWID-Wont-Relapse_2027";"7670";"1538";"1269";"268";"1266";"520";"9";"7";NA;"6";"17";"8";"7";"7";"5";"1";"13";"60";"316";"622";"140";"106";"25";"272";"864";"0";"322";"155";"6";"5";"487";"0";"322";"295";"112";"30";"759"
"Former-PWID-Wont-Relapse_2028";"7788";"1526";"1252";"274";"1250";"523";"9";"8";NA;"6";"17";"8";"8";"7";"5";"1";"13";"65";"328";"687";"136";"101";"25";"262";"896";"0";"318";"156";"5";"5";"484";"0";"318";"292";"106";"30";"746"
"Former-PWID-Wont-Relapse_2029";"7899";"1514";"1235";"279";"1234";"524";"9";"8";NA;"6";"16";"8";"8";"7";"5";"1";"13";"71";"341";"758";"132";"96";"25";"252";"926";"0";"313";"157";"5";"5";"481";"0";"313";"289";"101";"30";"733"
"Former-PWID-Wont-Relapse_2030";"8002";"1502";"1221";"281";"1218";"526";"8";"7";NA;"5";"16";"8";"7";"7";"5";"1";"13";"78";"354";"836";"127";"91";"24";"243";"954";"0";"309";"158";"5";"4";"477";"0";"309";"285";"96";"28";"720"
