"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"Total_2018";"22609";"7199";"6371";"828";"6071";"1474";"33";"11";"361";"269";"81";"25";"11";"20";"18";"2";"40";"266";"883";"7760";"616";"544";"52";"1212";"9509";"92";"1542";"436";"21";"7";"2098";"92";"1542";"1052";"565";"59";"3310"
"Total_2019";"22705";"7044";"6205";"839";"5919";"1484";"32";"12";"355";"265";"79";"25";"12";"20";"18";"2";"40";"270";"923";"8031";"599";"530";"53";"1182";"9425";"90";"1503";"439";"21";"8";"2061";"90";"1503";"1038";"551";"61";"3243"
"Total_2020";"22798";"6892";"6043";"849";"5770";"1491";"32";"12";"349";"260";"76";"25";"12";"20";"18";"2";"40";"275";"963";"8306";"581";"514";"54";"1149";"9347";"89";"1466";"441";"20";"8";"2023";"89";"1466";"1022";"534";"62";"3172"
"Total_2021";"22885";"6743";"5886";"857";"5625";"1495";"32";"13";"343";"256";"74";"25";"13";"20";"18";"2";"40";"281";"1003";"8587";"563";"497";"55";"1115";"9276";"87";"1429";"442";"20";"8";"1986";"87";"1429";"1005";"517";"63";"3101"
"Total_2022";"22966";"6597";"5732";"865";"5483";"1496";"31";"13";"338";"252";"72";"25";"13";"20";"18";"2";"40";"287";"1043";"8874";"544";"479";"56";"1079";"9208";"86";"1393";"443";"20";"8";"1950";"86";"1393";"987";"499";"64";"3029"
"Total_2023";"23041";"6455";"5582";"872";"5345";"1495";"31";"14";"332";"248";"70";"25";"14";"20";"17";"2";"39";"293";"1082";"9167";"525";"461";"56";"1042";"9145";"84";"1358";"443";"20";"9";"1913";"84";"1358";"968";"481";"65";"2955"
"Total_2024";"23110";"6315";"5437";"879";"5210";"1491";"31";"14";"326";"243";"68";"24";"14";"19";"17";"2";"39";"300";"1121";"9467";"506";"442";"56";"1004";"9083";"83";"1323";"442";"19";"9";"1877";"83";"1323";"948";"461";"65";"2881"
"Total_2025";"23172";"6180";"5295";"884";"5080";"1484";"30";"14";"321";"239";"66";"24";"14";"19";"17";"2";"38";"307";"1160";"9774";"487";"422";"56";"965";"9024";"81";"1290";"441";"19";"9";"1841";"81";"1290";"928";"441";"65";"2806"
"Total_2026";"23226";"6047";"5157";"889";"4953";"1476";"29";"15";"315";"235";"64";"24";"15";"19";"17";"2";"38";"316";"1198";"10090";"467";"403";"55";"926";"8966";"80";"1258";"440";"19";"9";"1806";"80";"1258";"907";"422";"64";"2732"
"Total_2027";"23272";"5917";"5024";"893";"4829";"1465";"29";"15";"310";"231";"63";"24";"15";"19";"16";"2";"38";"324";"1235";"10414";"448";"383";"55";"886";"8907";"79";"1227";"438";"18";"9";"1770";"79";"1227";"886";"401";"64";"2656"
"Total_2028";"23309";"5790";"4893";"897";"4710";"1452";"28";"15";"304";"227";"61";"23";"15";"19";"16";"2";"37";"333";"1272";"10747";"429";"364";"54";"847";"8849";"77";"1196";"435";"18";"10";"1736";"77";"1196";"864";"382";"64";"2583"
"Total_2029";"23337";"5666";"4768";"898";"4593";"1437";"27";"15";"298";"223";"59";"23";"15";"18";"16";"2";"36";"343";"1308";"11090";"410";"345";"53";"808";"8790";"76";"1167";"432";"17";"10";"1701";"76";"1167";"842";"362";"63";"2509"
"Total_2030";"23356";"5547";"4652";"895";"4479";"1423";"27";"13";"293";"219";"58";"23";"13";"18";"15";"2";"36";"354";"1344";"11444";"393";"327";"51";"770";"8731";"74";"1138";"429";"17";"8";"1667";"74";"1138";"822";"344";"59";"2437"
"PWID_1973";"673";"424";"420";"4";"203";"1";"0";"0";"220";"122";"1";"0";"0";"0";"0";"0";"0";"17";"0";"17";"0";"0";"0";"0";"1045";"56";"52";"0";"0";"0";"108";"56";"52";"0";"0";"0";"108"
"PWID_1974";"922";"560";"551";"8";"308";"3";"0";"0";"248";"139";"2";"0";"0";"0";"0";"0";"0";"24";"0";"41";"2";"0";"0";"2";"1427";"63";"78";"1";"0";"0";"143";"63";"78";"3";"0";"0";"145"
"PWID_1975";"1174";"710";"697";"13";"415";"7";"0";"0";"289";"157";"4";"0";"0";"0";"0";"0";"0";"30";"0";"71";"6";"1";"0";"7";"1803";"73";"105";"3";"0";"0";"181";"73";"105";"9";"1";"0";"188"
"PWID_1976";"1431";"870";"852";"18";"531";"11";"0";"0";"328";"183";"5";"0";"0";"0";"0";"0";"0";"37";"0";"108";"11";"2";"0";"13";"2179";"83";"135";"4";"0";"0";"223";"83";"135";"15";"2";"0";"236"
"PWID_1977";"1692";"1035";"1011";"23";"656";"16";"0";"0";"364";"207";"7";"0";"0";"0";"0";"0";"0";"44";"1";"152";"17";"4";"0";"21";"2556";"92";"167";"6";"0";"0";"265";"92";"167";"23";"4";"0";"286"
"PWID_1978";"1960";"1203";"1173";"29";"786";"22";"0";"0";"396";"230";"8";"0";"0";"0";"0";"0";"1";"51";"1";"203";"23";"7";"0";"30";"2937";"101";"200";"8";"0";"0";"309";"101";"200";"31";"7";"0";"339"
"PWID_1979";"2233";"1371";"1335";"36";"920";"28";"0";"0";"426";"250";"10";"0";"0";"1";"0";"0";"1";"58";"2";"260";"31";"10";"0";"41";"3320";"108";"234";"11";"0";"0";"353";"108";"234";"42";"10";"0";"394"
"PWID_1980";"2513";"1538";"1495";"42";"1054";"36";"1";"0";"452";"269";"11";"0";"0";"1";"0";"0";"1";"65";"3";"325";"39";"14";"0";"54";"3707";"115";"268";"13";"0";"0";"396";"115";"268";"52";"14";"0";"450"
"PWID_1981";"2800";"1701";"1652";"49";"1187";"45";"1";"0";"475";"285";"13";"1";"0";"1";"0";"0";"1";"72";"4";"397";"49";"19";"0";"68";"4098";"121";"302";"17";"1";"0";"439";"121";"302";"66";"20";"0";"507"
"PWID_1982";"3011";"1833";"1777";"56";"1319";"54";"1";"0";"468";"300";"15";"1";"0";"1";"0";"0";"2";"77";"6";"474";"59";"25";"0";"83";"4367";"119";"335";"20";"1";"0";"474";"119";"335";"79";"26";"0";"557"
